channel_url,title,author,rss_url,confidence_score,api_title,api_author
https://castbox.fm/channel/The-Art-of-Charm-id5281595,The Art of Charm,The Art of Charm,https://feeds.megaphone.fm/TAOC1506947885,1.0,The Art of Charm,The Art of Charm
https://castbox.fm/channel/The-NewsWorthy-id2561373,The NewsWorthy,Erica Mandy,https://thenewsworthy.libsyn.com/rss,1.0,The NewsWorthy,Erica Mandy
https://castbox.fm/channel/The-Rachel-Hollis-Podcast-id5116742,The Rachel Hollis Podcast,Three Percent Chance,https://feeds.simplecast.com/j2OmaLnl,1.0,The Rachel Hollis Podcast,Three Percent Chance
https://castbox.fm/channel/Inglês-Todos-os-Dias-id26685,Inglês Todos os Dias,Tim Barrett,http://feeds.feedburner.com/inglestodososdias,1.0,Inglês Todos os Dias,Tim Barrett
https://castbox.fm/channel/Positive-Leadership-id4384261,Positive Leadership,Jean-Philippe Courtois,https://rss.buzzsprout.com/1798971.rss,1.0,Positive Leadership,Jean-Philippe Courtois
https://castbox.fm/channel/TED-Business-id1885,TED Business,TED,https://feeds.feedburner.com/iTunesPodcastTTBusiness,1.0,TED Business,TED
https://castbox.fm/channel/The-Documentary-Podcast-id468577,The Documentary Podcast,BBC World Service,https://podcasts.files.bbci.co.uk/p02nq0lx.rss,1.0,The Documentary Podcast,BBC World Service
https://castbox.fm/channel/The-%24100-MBA-Show-id1057264,The $100 MBA Show,Omar Zenhom,https://feeds.simplecast.com/equXS9ic,1.0,The $100 MBA Show,Omar Zenhom
https://castbox.fm/channel/No-Such-Thing-As-A-Fish-id352646,No Such Thing As A Fish,No Such Thing As A Fish,https://audioboom.com/channels/2399216.rss,1.0,No Such Thing As A Fish,No Such Thing As A Fish
https://castbox.fm/channel/Biscuits-%26-Jam-id2867983,Biscuits & Jam,Southern Living,https://feeds.megaphone.fm/southernliving,1.0,Biscuits & Jam,Southern Living
https://castbox.fm/channel/Bag-Man-id3753603,Bag Man,"MSNBC, Rachel Maddow",,,,
https://castbox.fm/channel/In-Her-Ellement-id4936291,In Her Ellement,Boston Consulting Group BCG,https://feeds.captivate.fm/in-her-ellement/,1.0,In Her Ellement,Boston Consulting Group BCG
https://castbox.fm/channel/The-Generation-Why-Podcast-id1238764,The Generation Why Podcast,Wondery,,,,
https://castbox.fm/channel/The-Diary-Of-A-CEO-with-Steven-Bartlett-id5575118,The Diary Of A CEO with Steven Bartlett,DOAC,https://rss2.flightcast.com/xmsftuzjjykcmqwolaqn6mdn,1.0,The Diary Of A CEO with Steven Bartlett,DOAC
https://castbox.fm/channel/Economist-Podcasts-id1024263,Economist Podcasts,The Economist,https://access.acast.com/rss/ec380acc-fe13-46a0-991f-a1e508d126f8,1.0,Economist Podcasts,The Economist
https://castbox.fm/channel/Rapid-Response-id2752780,Rapid Response,WaitWhat,https://rss.art19.com/masters-of-scale-rapid-response,1.0,Rapid Response,WaitWhat
https://castbox.fm/channel/Water-%26-Nature-Sounds-Meditation-for-Women-id4934454,Water & Nature Sounds Meditation for Women,Water Sounds,https://feeds.megaphone.fm/waterandnaturesoundsmeditationforwomen,1.0,Water & Nature Sounds Meditation for Women,Water Sounds
https://castbox.fm/channel/Business-Wars-id1155081,Business Wars,Wondery,https://rss.castbox.fm/everest/13974545388d41bcb788d86439facd20.xml,0.7916666666666666,Business Wars (Ad Free),Wondery
https://castbox.fm/channel/Pardon-My-Take-id1487086,Pardon My Take,Barstool Sports,https://mcsorleys.barstoolsports.com/feed/pardon-my-take,1.0,Pardon My Take,Barstool Sports
https://castbox.fm/channel/The-Commercial-Break-id5789756,The Commercial Break,Commercial Break LLC,https://feeds.simplecast.com/cbbta5Vb,0.9254385964912281,The Commercial Break,Comedy Podcast | Commercial Break LLC
https://castbox.fm/channel/Like-a-Boss-id1078486,Like a Boss,Alura,https://www.likeaboss.com.br/episodios/feed/like-a-boss/,1.0,Like a Boss,Alura
https://castbox.fm/channel/DISGRACELAND-id5262288,DISGRACELAND,Double Elvis Productions,https://rss.pdrl.fm/b36e29/feeds.megaphone.fm/DEP5407482957,1.0,DISGRACELAND,Double Elvis Productions
https://castbox.fm/channel/California-Now-Podcast-id2866703,California Now Podcast,Visit California,https://feeds.cohostpodcasting.com/zVK37Mv2,1.0,California Now Podcast,Visit California
https://castbox.fm/channel/Learning-English-Vocabulary-id574415,Learning English Vocabulary,BBC Radio,https://podcasts.files.bbci.co.uk/p02pc9xz.rss,1.0,Learning English Vocabulary,BBC Radio
https://castbox.fm/channel/Young-Charlie-by-Hollywood-%26-Crime-id1082010,Hollywood & Crime,Wondery,https://rss.castbox.fm/everest/9d7ce85482f24acc8c9b1f7c2285bcfe.xml,0.689655172413793,Wonderland by Hollywood & Crime (Ad Free),Wondery
https://castbox.fm/channel/The-Infinite-Monkey-Cage-id468358,The Infinite Monkey Cage,BBC Radio 4,https://podcasts.files.bbci.co.uk/b00snr0w.rss,1.0,The Infinite Monkey Cage,BBC Radio 4
https://castbox.fm/channel/Cloud-Realities-id5221345,Cloud Realities,Capgemini,https://feeds.transistor.fm/cloud-realities-4443ea6b-0eb6-4eeb-a19c-08980c983ba9,1.0,Cloud Realities,Capgemini
https://castbox.fm/channel/The-Dropout-id6178403,The Dropout,ABC News,https://feeds.libsyn.com/516868/rss,1.0,The Dropout,ABC News
https://castbox.fm/channel/The-Run-Through-with-Vogue-id5714175,The Run-Through with Vogue,Vogue,https://publicfeeds.net/f/5736/the-run-through,1.0,The Run-Through with Vogue,Vogue
https://castbox.fm/channel/The-Greatness-Machine-id5023689,The Greatness Machine,Darius Mirshahzadeh | YAP Media,https://feeds.megaphone.fm/YAP1220320475,1.0,The Greatness Machine,Darius Mirshahzadeh | YAP Media
https://castbox.fm/channel/Planet-Visionaries-id4242140,Planet Visionaries,Rolex and The Washington Post Creative Group,,,,
https://castbox.fm/channel/TED-Health-id54,TED Health,TED,https://feeds.feedburner.com/iTunesPodcastTTHealth,1.0,TED Health,TED
https://castbox.fm/channel/In-The-Dark-id5721061,In The Dark,The New Yorker,https://publicfeeds.net/f/5770/in-the-dark,1.0,In The Dark,The New Yorker
https://castbox.fm/channel/Friday-Night-Comedy-from-BBC-Radio-4-id468369,Friday Night Comedy from BBC Radio 4,BBC Radio 4,https://podcasts.files.bbci.co.uk/p02pc9pj.rss,1.0,Friday Night Comedy from BBC Radio 4,BBC Radio 4
https://castbox.fm/channel/The-Rest-Is-History-id5521088,The Rest Is History,Goalhanger,https://feeds.megaphone.fm/GLT4787413333,1.0,The Rest Is History,Goalhanger
https://castbox.fm/channel/손에-잡히는-경제-id5094628,손에 잡히는 경제,MBC,http://minicast.imbc.com/PodCast/pod.aspx?code=1000671100000100000,1.0,손에 잡히는 경제,MBC
https://castbox.fm/channel/Xadrez-Verbal-id3615970,Xadrez Verbal,Central 3 Podcasts,https://www.spreaker.com/show/4712237/episodes/feed,1.0,Xadrez Verbal,Central 3 Podcasts
https://castbox.fm/channel/The-Take-id4445882,The Take,Al Jazeera,https://www.omnycontent.com/d/playlist/9c074afa-3313-47e8-b802-a9f900789975/09af2160-238f-48b2-b20b-ad4b00ebd8e7/b86dddc1-67a5-41c2-a13c-ad4b00ebd8f5/podcast.rss,1.0,The Take,Al Jazeera
https://castbox.fm/channel/The-GaryVee-Audio-Experience-id2405095,The GaryVee Audio Experience,Gary Vaynerchuk,https://anchor.fm/s/f39a864/podcast/rss,1.0,The GaryVee Audio Experience,Gary Vaynerchuk
https://castbox.fm/channel/Speak-English-with-ESLPod.com---Learn-English-Fast-id464325,Speak English with ESLPod.com - Learn English Fast,ESLPod.com,https://www.eslpod.com/feed.xml,1.0,Speak English with ESLPod.com - Learn English Fast,ESLPod.com
https://castbox.fm/channel/ResumoCast-|-Livros-para-Empreendedores-id5602994,ResumoCast | Livros para Empreendedores,RESUMOCAST VENTURES,https://anchor.fm/s/e9ab4340/podcast/rss,1.0,ResumoCast | Livros para Empreendedores,RESUMOCAST VENTURES
https://castbox.fm/channel/Someone-Knows-Something-id1408868,Someone Knows Something,CBC,https://www.cbc.ca/podcasting/includes/sks.xml,1.0,Someone Knows Something,CBC
https://castbox.fm/channel/Dinner-SOS-by-Bon-Appétit-id1373960,Dinner SOS by Bon Appétit,Bon Appétit,,,,
https://castbox.fm/channel/Reply-All-id2159255,Reply All,Gimlet,https://feeds.megaphone.fm/replyall,1.0,Reply All,Gimlet
https://castbox.fm/channel/Doha-Debates-Podcast-id2521377,Doha Debates Podcast,Doha Debates,https://feeds.megaphone.fm/coursecorrection,1.0,Doha Debates Podcast,Doha Debates
https://castbox.fm/channel/Meditation-for-Women-id4935832,Meditation for Women,Guided Meditation,https://feeds.megaphone.fm/meditationforwomen,1.0,Meditation for Women,Guided Meditation
